Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date
Sign UpLoginFor SaleHouses for SaleApartments for ,6000000,"6th Floor, Wing C - West End Towers, Waiyaki Way, Westlands, Nairobi",1,2,NaN,2026-05-21
0Yesterday112 Bed Apartment with En Suite in Kilim,6000000,Kileleshwa,2,2,NaN,2026-05-21
2 Bed Apartment with En Suite in Kilimani2 Bed Apa,6000000,Kilimani,2,2,NaN,2026-05-21
0Yesterday112 Bed Apartment with En Suite in Westl,7500000,"Westlands Area, Westlands",2,2,NaN,2026-05-21
2 Bed Apartment with En Suite in Westlands Area2 B,7500000,"Westlands Area, Westlands",2,2,NaN,2026-05-21
0112 Bed Apartment with En Suite in Kileleshwa2 Be,6000000,Kileleshwa,2,2,NaN,2026-05-21
2 Bed Apartment with En Suite in Kileleshwa2 Bed A,6000000,Kileleshwa,2,2,NaN,2026-05-21
0Today112 Bed Apartment with En Suite in Westlands,7000000,2 bedroom apartment for sale in Westlands,2,1,NaN,2026-05-21
0Today101 Bed Apartment with En Suite in Westlands,4000000,1 bedroom apartment for sale in Westlands,1,1,NaN,2026-05-21
1 Bed Apartment with En Suite in Westlands Area1 B,4000000,1 bedroom apartment for sale in Westlands,1,1,NaN,2026-05-21
0104 Bed Apartment with En Suite in Kilimani4 Bed ,13000000,Kilimani,4,4,NaN,2026-05-21
4 Bed Apartment with En Suite in Kilimani4 Bed Apa,13000000,Kilimani,4,4,NaN,2026-05-21
0113 Bed Apartment with En Suite in Kilimani3 Bed ,9000000,Kilimani,3,3,NaN,2026-05-21
3 Bed Apartment with En Suite in Kilimani3 Bed Apa,9000000,Kilimani,3,3,NaN,2026-05-21
0112 Bed Apartment with En Suite in Kilimani2 Bed ,6000000,Kilimani,2,2,NaN,2026-05-21
0Yesterday111 Bed Apartment with En Suite in Kilim,3000000,Kilimani,1,1,NaN,2026-05-21
1 Bed Apartment with En Suite in Kilimani1 Bed Apa,3000000,Kilimani,1,1,NaN,2026-05-21
0Today174 Bed Apartment with En Suite in Lavington,13500000,4 bedroom apartment for sale in Lavington,4,4,NaN,2026-05-21
4 Bed Apartment with En Suite in Lavington4 Bed Ap,13500000,4 bedroom apartment for sale in Lavington,4,4,NaN,2026-05-21
0Today174 Bed Apartment with En Suite in Kileleshw,13500000,4 bedroom apartment for sale in Kileleshwa,4,4,NaN,2026-05-21
4 Bed Apartment with En Suite in Kileleshwa4 Bed A,13500000,4 bedroom apartment for sale in Kileleshwa,4,4,NaN,2026-05-21
0Today174 Bed Apartment with En Suite in Kilimani4,13500000,4 bedroom apartment for sale in Kilimani,4,4,NaN,2026-05-21
0Today173 Bed Apartment with En Suite in Lavington,10000000,3 bedroom apartment for sale in Lavington,3,2,NaN,2026-05-21
3 Bed Apartment with En Suite in Lavington3 Bed Ap,10000000,3 bedroom apartment for sale in Lavington,3,2,NaN,2026-05-21
0Today173 Bed Apartment with En Suite in Kileleshw,10000000,3 bedroom apartment for sale in Kileleshwa,3,2,NaN,2026-05-21
3 Bed Apartment with En Suite in Kileleshwa3 Bed A,10000000,3 bedroom apartment for sale in Kileleshwa,3,2,NaN,2026-05-21
0Today173 Bed Apartment with En Suite in Kilimani3,10000000,3 bedroom apartment for sale in Kilimani,3,2,NaN,2026-05-21
0Today152 Bed Apartment with En Suite in Lavington,6000000,2 bedroom apartment for sale in Lavington,2,1,NaN,2026-05-21
2 Bed Apartment with En Suite in Lavington2 Bed Ap,6000000,2 bedroom apartment for sale in Lavington,2,1,NaN,2026-05-21
0Today164 Bed Apartment with En Suite in Kileleshw,13000000,Kileleshwa,4,5,NaN,2026-05-21
0Today124 Bed Apartment with En Suite in Kileleshw,20000000,Kileleshwa,4,5,NaN,2026-05-21
0Today113 Bed Apartment with En Suite in Kileleshw,9000000,Kileleshwa,3,3,NaN,2026-05-21
0Today143 Bed Apartment with En Suite in Kileleshw,10500000,Kileleshwa,3,3,NaN,2026-05-21
0Today102 Bed Apartment with En Suite in Kileleshw,6000000,Kileleshwa,2,2,NaN,2026-05-21
15 days ago172 Bed Apartment with En Suite in West,6000000,Kilimani,2,2,101,2026-05-21
05 days ago101 Bed Apartment with En Suite in West,4000000,"Westlands Area, Westlands",1,1,NaN,2026-05-21
