Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date
Sign UpLoginFor SaleHouses for SaleApartments for ,18000000,"6th Floor, Wing C - West End Towers, Waiyaki Way, Westlands, Nairobi",1,4,56,2026-06-02
015Serviced Studio Apartment with En Suite in West,18000000,"Westlands Area, Westlands",4,4,56,2026-06-02
Serviced Studio Apartment with En Suite in Westlan,5500000,Serviced Studio Apartment with En Suite in Westlands Area,NaN,1,NaN,2026-06-02
0152 Bed Apartment with En Suite in Kilimani2 Bed ,6000000,2 bedroom apartment for sale in Kilimani,2,1,NaN,2026-06-02
2 Bed Apartment with En Suite in Kilimani2 Bed Apa,6000000,2 bedroom apartment for sale in Kilimani,2,1,NaN,2026-06-02
04 days ago112 Bed Apartment with En Suite in Kili,6000000,Kilimani,2,2,NaN,2026-06-02
0Today143 Bed Apartment with En Suite in Kileleshw,10500000,Kileleshwa,3,3,NaN,2026-06-02
3 Bed Apartment with En Suite in Kileleshwa3 Bed A,10500000,Kileleshwa,3,3,NaN,2026-06-02
0Today164 Bed Apartment with En Suite in Lavington,13000000,Lavington,4,5,NaN,2026-06-02
4 Bed Apartment with En Suite in Lavington4 Bed Ap,13000000,Lavington,4,5,NaN,2026-06-02
0Today153 Bed Apartment with En Suite in Lavington,10500000,Lavington,3,3,NaN,2026-06-02
3 Bed Apartment with En Suite in Lavington3 Bed Ap,10500000,Lavington,3,3,NaN,2026-06-02
0Today112 Bed Apartment with En Suite in Lavington,6000000,Lavington,2,2,NaN,2026-06-02
2 Bed Apartment with En Suite in Lavington2 Bed Ap,6000000,Lavington,2,2,NaN,2026-06-02
0Today121 Bed Apartment with En Suite in Lavington,4000000,Lavington,1,1,NaN,2026-06-02
1 Bed Apartment with En Suite in Lavington1 Bed Ap,4000000,Lavington,1,1,NaN,2026-06-02
0Today171 Bed Apartment with Swimming Pool at Turb,6000000,Kilimani,1,1,56,2026-06-02
1 Bed Apartment with Swimming Pool at Turbo Road1 ,6000000,Kilimani,1,1,56,2026-06-02
04 days ago111 Bed Apartment with En Suite in Kili,3000000,Kilimani,1,1,NaN,2026-06-02
1 Bed Apartment with En Suite in Kilimani1 Bed Apa,3000000,Kilimani,1,1,NaN,2026-06-02
0Today112 Bed Apartment with En Suite in Kilimani2,6000000,Kilimani,2,2,NaN,2026-06-02
0Today172 Bed Apartment with En Suite in Kileleshw,7000000,Kileleshwa,2,2,NaN,2026-06-02
2 Bed Apartment with En Suite in Kileleshwa2 Bed A,7000000,Kileleshwa,2,2,NaN,2026-06-02
0Today121 Bed Apartment with En Suite in Kileleshw,4000000,Kileleshwa,1,1,NaN,2026-06-02
1 Bed Apartment with En Suite in Kileleshwa1 Bed A,4000000,Kileleshwa,1,1,NaN,2026-06-02
04 days ago163 Bed Apartment with En Suite in Kili,9000000,Kilimani,3,3,NaN,2026-06-02
3 Bed Apartment with En Suite in Kilimani3 Bed Apa,9000000,Kilimani,3,3,NaN,2026-06-02
0Today102 Bed Apartment with En Suite in Lavington,7000000,Lavington,2,2,NaN,2026-06-02
04 days ago164 Bed Apartment with En Suite in Kili,13000000,Kilimani,4,4,NaN,2026-06-02
4 Bed Apartment with En Suite in Kilimani4 Bed Apa,13000000,Kilimani,4,4,NaN,2026-06-02
05 days ago164 Bed Apartment with En Suite in Kili,13000000,Kilimani,4,4,NaN,2026-06-02
04 days ago194 Bed Apartment with En Suite in West,18000000,"Westlands Area, Westlands",4,4,NaN,2026-06-02
4 Bed Apartment with En Suite in Westlands Area4 B,18000000,"Westlands Area, Westlands",4,4,NaN,2026-06-02
05 days ago194 Bed Apartment with En Suite in West,18000000,"Westlands Area, Westlands",4,4,NaN,2026-06-02
0152 Bed Apartment with En Suite in Kileleshwa2 Be,13500000,4 bedroom apartment for sale in Kilimani,4,4,61,2026-06-02
0203 Bed Apartment with En Suite at Rhapta Road3 B,14000000,3 BEDROOM APARTMENT for sale in Westlands Nairo...,3,3,NaN,2026-06-02
3 Bed Apartment with En Suite at Rhapta Road3 Bed ,14000000,3 BEDROOM APARTMENT for sale in Westlands Nairo...,3,3,NaN,2026-06-02
15 days ago112 Bed Apartment with En Suite in Kili,11500000,Kilimani,2,2,NaN,2026-06-02
0Today202 Bed Apartment with En Suite at Mogotio R,11000000,"Westlands Area, Westlands",2,2,113,2026-06-02
2 Bed Apartment with En Suite at Mogotio Road2 Bed,11000000,"Westlands Area, Westlands",2,2,113,2026-06-02
04 days ago83 Bed Apartment with En Suite in Westl,11000000,"Westlands Area, Westlands",3,3,NaN,2026-06-02
3 Bed Apartment with En Suite in Westlands Area3 B,11000000,"Westlands Area, Westlands",3,3,NaN,2026-06-02
0Today172 Bed Apartment with En Suite in Westlands,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-02
2 Bed Apartment with En Suite in Westlands Area2 B,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-02
04 days ago172 Bed Apartment with En Suite in West,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-02
04 days ago101 Bed Apartment with En Suite in West,4000000,"Westlands Area, Westlands",1,1,NaN,2026-06-02
1 Bed Apartment with En Suite in Westlands Area1 B,4000000,"Westlands Area, Westlands",1,1,NaN,2026-06-02
0Today192 Bed Apartment with En Suite at Chania Av,10700000,Kilimani,2,2,102,2026-06-02
2 Bed Apartment with En Suite at Chania Avenue2 Be,10700000,Kilimani,2,2,102,2026-06-02
0Today202 Bed Apartment with Swimming Pool at Mogo,8200000,"Westlands Area, Westlands",2,2,82,2026-06-02
