Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date,Date,USD_KES_Rate,CBR_Rate,Remittance_M_USD,CPI_Index
02 days ago91 Bed Apartment with En Suite in Westl,5500000,"Westlands Area, Westlands",1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Muguga Green1 Bed,9500000,"Westlands Area, Westlands",1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with En Suite at Muguga Green1 ,9500000,"Westlands Area, Westlands",1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Off Wood Avenue2 ,9500000,Kilimani,2.0,2.0,92,2026-05-26,2026-05-26,129.532839,10,,
0182 Bed Apartment with En Suite at Off Wood Avenu,9500000,Kilimani,2.0,2.0,92,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Westlands,8800000,"Westlands Area, Westlands",1.0,1.0,69,2026-05-26,2026-05-26,129.532839,10,,
Serviced 1 Bed Apartment with Swimming Pool at Spo,7600000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
020Serviced 1 Bed Apartment with Swimming Pool at ,7600000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Westlands,12150000,"Westlands Area, Westlands",2.0,2.0,90,2026-05-26,2026-05-26,129.532839,10,,
Serviced 2 Bed Apartment with Swimming Pool at Spo,11000000,"Westlands Area, Westlands",2.0,2.0,103,2026-05-26,2026-05-26,129.532839,10,,
020Serviced 2 Bed Apartment with Swimming Pool at ,11000000,"Westlands Area, Westlands",2.0,2.0,103,2026-05-26,2026-05-26,129.532839,10,,
0195 Bed Apartment with En Suite at General Mathen,75000000,"Westlands Area, Westlands",5.0,5.0,,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Muthithi ,10500000,Kileleshwa,3.0,3.0,78,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with En Suite in Ngong Road2 Be,10300000,Ngong Road,2.0,3.0,103,2026-05-26,2026-05-26,129.532839,10,,
0144 Bed Apartment with En Suite in Ngong Road4 Be,26500000,"Executive Penthouse for Sale Off Ngong Road, Na...",4.0,5.0,259,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with Swimming Pool at General M,8300000,"Westlands Area, Westlands",1.0,1.0,66,2026-05-26,2026-05-26,129.532839,10,,
